name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
F7-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
T7-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P7-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
--0	MISC	µV	0.0	128.0	Miscellaneous	256.0	good	n/a
FP1-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
F3-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C3-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P3-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
O1-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
--1	MISC	µV	0.0	128.0	Miscellaneous	256.0	good	n/a
FZ-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CZ-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PZ-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
--2	MISC	µV	0.0	128.0	Miscellaneous	256.0	good	n/a
FP2-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
F4-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C4-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P4-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
O2-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
--3	MISC	µV	0.0	128.0	Miscellaneous	256.0	good	n/a
F8-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
T8-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P8-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
--4	MISC	µV	0.0	128.0	Miscellaneous	256.0	good	n/a
C2-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C6-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP2-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP4-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP6-CS2	EEG	µV	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
